Subject,Code,,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen
LN_VTA_1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,,Picture,[6853.29312808],[0],3,1,0,0.50289271,f1_f2,,
LN_VTA_1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,,Picture,[6863.28096844],[0],3,2,0,1.340162752,f2_f1,,
LN_VTA_1,trial_3_rew_1_f1_f2_acum_r0_l0_task_1_sess_1,,Picture,[6875.79935501],[0],1,1,1,0.965852527,f1_f2,1,
LN_VTA_1,trial_4_neu_3_f1_f2_acum_r1_l0_task_1_sess_1,,Picture,[6885.80411867],[0],3,2,0,1.083119991,f1_f2,,
LN_VTA_1,trial_5_neu_4_f1_f2_acum_r1_l0_task_1_sess_1,,Picture,[6895.79196663],[0],3,1,0,0.871235818,f1_f2,,
LN_VTA_1,trial_6_los_1_f2_f1_acum_r1_l0_task_1_sess_1,,Picture,[6905.79662233],[0],2,1,-1,0.937343557,f2_f1,,0
LN_VTA_1,trial_7_rew_2_f2_f1_acum_r1_l1_task_1_sess_1,,Picture,[6915.80143921],[0],1,1,1,1.319326306,f2_f1,0,
LN_VTA_1,trial_8_los_2_f1_f2_acum_r2_l1_task_1_sess_1,,Picture,[6932.04845537],[0],2,1,0,0.851839266,f1_f2,,1
LN_VTA_1,trial_9_los_3_f1_f2_acum_r2_l1_task_1_sess_1,,Picture,[6944.56672334],[0],2,2,0,1.312383232,f1_f2,,0
LN_VTA_1,trial_10_los_4_f2_f1_acum_r2_l1_task_1_sess_1,,Picture,[6957.06836907],[0],2,1,0,1.070055091,f2_f1,,0
LN_VTA_1,trial_11_los_5_f1_f2_acum_r2_l1_task_1_sess_1,,Picture,[6970.81858564],[0],2,1,0,1.291633644,f1_f2,,1
LN_VTA_1,trial_12_rew_3_f1_f2_acum_r2_l1_task_1_sess_1,,Picture,[6980.82317977],[0],1,1,1,0.735119173,f1_f2,1,
LN_VTA_1,trial_13_neu_5_f2_f1_acum_r3_l1_task_1_sess_1,,Picture,[6993.32481523],[0],3,2,0,1.016397409,f2_f1,,
LN_VTA_1,trial_14_los_6_f1_f2_acum_r3_l1_task_1_sess_1,,Picture,[7003.32949755],[0],2,1,-1,0.635737476,f1_f2,,1
LN_VTA_1,trial_15_los_7_f1_f2_acum_r3_l2_task_1_sess_1,,Picture,[7014.5826743],[0],2,2,0,1.063023258,f1_f2,,0
LN_VTA_1,trial_16_rew_4_f2_f1_acum_r3_l2_task_1_sess_1,,Picture,[7029.58127242],[0],1,2,1,0.920191611,f2_f1,1,
LN_VTA_1,trial_17_neu_6_f1_f2_acum_r4_l2_task_1_sess_1,,Picture,[7043.34812911],[0],3,1,0,0.855049946,f1_f2,,
LN_VTA_1,trial_18_rew_5_f1_f2_acum_r4_l2_task_1_sess_1,,Picture,[7058.36344109],[0],1,2,0,0.896980748,f1_f2,0,
LN_VTA_1,trial_19_neu_7_f1_f2_acum_r4_l2_task_1_sess_1,,Picture,[7069.6332629],[0],3,2,0,0.966100555,f1_f2,,
LN_VTA_1,trial_22_neu_9_f1_f2_acum_r4_l2_task_1_sess_1,,Picture,[7105.90631154],[0],3,2,0,0.773262084,f1_f2,,
LN_VTA_1,trial_23_neu_10_f1_f2_acum_r4_l2_task_1_sess_1,,Picture,[7117.15946625],[0],3,1,0,0.828450507,f1_f2,,
LN_VTA_1,trial_24_neu_11_f2_f1_acum_r4_l2_task_1_sess_1,,Picture,[7127.16409421],[0],3,2,0,0.735115752,f2_f1,,
LN_VTA_1,trial_25_los_9_f2_f1_acum_r4_l2_task_1_sess_1,,Picture,[7144.6597656],[0],2,2,-1,1.155610508,f2_f1,,1
LN_VTA_1,trial_26_neu_12_f2_f1_acum_r4_l3_task_1_sess_1,,Picture,[7162.17210105],[0],3,1,0,0.963371106,f2_f1,,
LN_VTA_1,trial_27_neu_13_f1_f2_acum_r4_l3_task_1_sess_1,,Picture,[7177.18737843],[0],3,1,0,0.794487772,f1_f2,,
LN_VTA_1,trial_28_los_10_f2_f1_acum_r4_l3_task_1_sess_1,,Picture,[7187.19216718],[0],2,2,-1,1.412869557,f2_f1,,1
LN_VTA_1,trial_29_rew_6_f2_f1_acum_r4_l4_task_1_sess_1,,Picture,[7200.94218267],[0],1,1,0,0.966855282,f2_f1,0,
LN_VTA_1,trial_30_los_11_f1_f2_acum_r4_l4_task_1_sess_1,,Picture,[7210.93016937],[0],2,2,0,1.519249446,f1_f2,,0
LN_VTA_1,trial_31_neu_14_f2_f1_acum_r4_l4_task_1_sess_1,,Picture,[7222.20002881],[0],3,1,0,1.002917988,f2_f1,,
LN_VTA_1,trial_32_los_12_f2_f1_acum_r4_l4_task_1_sess_1,,Picture,[7232.18799157],[0],2,1,-1,0.989822298,f2_f1,,0
LN_VTA_1,trial_33_rew_7_f2_f1_acum_r4_l5_task_1_sess_1,,Picture,[7242.19267654],[0],1,2,1,0.876170911,f2_f1,1,
LN_VTA_1,trial_34_rew_8_f1_f2_acum_r5_l5_task_1_sess_1,,Picture,[7254.71097531],[0],1,1,1,1.318249048,f1_f2,1,
LN_VTA_1,trial_35_rew_9_f1_f2_acum_r6_l5_task_1_sess_1,,Picture,[7265.96412165],[0],1,1,0,0.833483671,f1_f2,1,
LN_VTA_1,trial_36_los_13_f1_f2_acum_r6_l5_task_1_sess_1,,Picture,[7279.71428083],[0],2,2,-1,1.047112783,f1_f2,,0
LN_VTA_1,trial_37_los_14_f1_f2_acum_r6_l6_task_1_sess_1,,Picture,[7295.97802605],[0],2,1,0,0.88414525,f1_f2,,1
LN_VTA_1,trial_38_rew_10_f2_f1_acum_r6_l6_task_1_sess_1,,Picture,[7309.74490098],[0],1,2,0,1.664916976,f2_f1,1,
LN_VTA_1,trial_39_neu_15_f1_f2_acum_r6_l6_task_1_sess_1,,Picture,[7319.74950385],[0],3,1,0,1.429632261,f1_f2,,
LN_VTA_1,trial_41_neu_16_f2_f1_acum_r6_l6_task_1_sess_1,,Picture,[7347.2498203],[0],3,2,0,0.878851324,f2_f1,,
LN_VTA_1,trial_42_rew_11_f1_f2_acum_r6_l6_task_1_sess_1,,Picture,[7357.25445244],[0],1,1,1,0.785809831,f1_f2,1,
LN_VTA_1,trial_43_neu_17_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7375.99863689],[0],3,2,0,0.868815217,f2_f1,,
LN_VTA_1,trial_44_los_16_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7387.26846745],[0],2,1,0,1.120390337,f2_f1,,0
LN_VTA_1,trial_45_neu_18_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7397.25639599],[0],3,1,0,1.088363171,f2_f1,,
LN_VTA_1,trial_46_neu_19_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7409.77475709],[0],3,2,0,1.022653037,f2_f1,,
LN_VTA_1,trial_47_rew_12_f1_f2_acum_r7_l6_task_1_sess_1,,Picture,[7431.03250479],[0],1,1,0,0.990570563,f1_f2,1,
LN_VTA_1,trial_48_rew_13_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7442.28571955],[0],1,1,0,0.958129257,f2_f1,0,
LN_VTA_1,trial_49_rew_14_f2_f1_acum_r7_l6_task_1_sess_1,,Picture,[7452.29036499],[0],1,2,1,1.891704308,f2_f1,1,
