Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen,m1_rp_all_fit_chosen_value,m2_rp_individual_fit_chosen_value,m3_rp_good_patients_chosen_value,Correct_Decisions
LN_VTA_1,trial_1_neu_1_f1_f2_acum_r0_l0_task_1_sess_1,Picture,[6853.29312808],[0],3,1,0,0.50289271,f1_f2,,,,,,1
LN_VTA_1,trial_2_neu_2_f2_f1_acum_r0_l0_task_1_sess_1,Picture,[6863.28096844],[0],3,2,0,1.340162752,f2_f1,,,,,,1
LN_VTA_1,trial_4_neu_3_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[6885.80411867],[0],3,2,0,1.083119991,f1_f2,,,,,,2
LN_VTA_1,trial_5_neu_4_f1_f2_acum_r1_l0_task_1_sess_1,Picture,[6895.79196663],[0],3,1,0,0.871235818,f1_f2,,,,,,1
LN_VTA_1,trial_13_neu_5_f2_f1_acum_r3_l1_task_1_sess_1,Picture,[6993.32481523],[0],3,2,0,1.016397409,f2_f1,,,,,,1
LN_VTA_1,trial_17_neu_6_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[7043.34812911],[0],3,1,0,0.855049946,f1_f2,,,,,,1
LN_VTA_1,trial_19_neu_7_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[7069.6332629],[0],3,2,0,0.966100555,f1_f2,,,,,,2
LN_VTA_1,trial_22_neu_9_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[7105.90631154],[0],3,2,0,0.773262084,f1_f2,,,,,,2
LN_VTA_1,trial_23_neu_10_f1_f2_acum_r4_l2_task_1_sess_1,Picture,[7117.15946625],[0],3,1,0,0.828450507,f1_f2,,,,,,1
LN_VTA_1,trial_24_neu_11_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[7127.16409421],[0],3,2,0,0.735115752,f2_f1,,,,,,1
LN_VTA_1,trial_26_neu_12_f2_f1_acum_r4_l3_task_1_sess_1,Picture,[7162.17210105],[0],3,1,0,0.963371106,f2_f1,,,,,,2
LN_VTA_1,trial_27_neu_13_f1_f2_acum_r4_l3_task_1_sess_1,Picture,[7177.18737843],[0],3,1,0,0.794487772,f1_f2,,,,,,1
LN_VTA_1,trial_31_neu_14_f2_f1_acum_r4_l4_task_1_sess_1,Picture,[7222.20002881],[0],3,1,0,1.002917988,f2_f1,,,,,,2
LN_VTA_1,trial_39_neu_15_f1_f2_acum_r6_l6_task_1_sess_1,Picture,[7319.74950385],[0],3,1,0,1.429632261,f1_f2,,,,,,1
LN_VTA_1,trial_41_neu_16_f2_f1_acum_r6_l6_task_1_sess_1,Picture,[7347.2498203],[0],3,2,0,0.878851324,f2_f1,,,,,,1
LN_VTA_1,trial_43_neu_17_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[7375.99863689],[0],3,2,0,0.868815217,f2_f1,,,,,,1
