Subject,Code,Event Type,Time,TTime,Condition,Decisions,Outcomes,Reaction Time,Stimuli_Order,High_Reward_Chosen,High_Loss_Chosen,m1_rp_all_fit_chosen_value,m2_rp_individual_fit_chosen_value,m3_rp_good_patients_chosen_value,correct decisions
LN_VTA_1,trial_6_los_1_f2_f1_acum_r1_l0_task_1_sess_1,Picture,[6905.79662233],[0],2,1,-1,0.937343557,f2_f1,,0.0,,,,2
LN_VTA_1,trial_8_los_2_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[6932.04845537],[0],2,1,0,0.851839266,f1_f2,,1.0,,,,1
LN_VTA_1,trial_9_los_3_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[6944.56672334],[0],2,2,0,1.312383232,f1_f2,,0.0,,,,2
LN_VTA_1,trial_10_los_4_f2_f1_acum_r2_l1_task_1_sess_1,Picture,[6957.06836907],[0],2,1,0,1.070055091,f2_f1,,0.0,,,,2
LN_VTA_1,trial_11_los_5_f1_f2_acum_r2_l1_task_1_sess_1,Picture,[6970.81858564],[0],2,1,0,1.291633644,f1_f2,,1.0,,,,1
LN_VTA_1,trial_14_los_6_f1_f2_acum_r3_l1_task_1_sess_1,Picture,[7003.32949755],[0],2,1,-1,0.635737476,f1_f2,,1.0,,,,1
LN_VTA_1,trial_15_los_7_f1_f2_acum_r3_l2_task_1_sess_1,Picture,[7014.5826743],[0],2,2,0,1.063023258,f1_f2,,0.0,,,,2
LN_VTA_1,trial_25_los_9_f2_f1_acum_r4_l2_task_1_sess_1,Picture,[7144.6597656],[0],2,2,-1,1.155610508,f2_f1,,1.0,,,,1
LN_VTA_1,trial_28_los_10_f2_f1_acum_r4_l3_task_1_sess_1,Picture,[7187.19216718],[0],2,2,-1,1.412869557,f2_f1,,1.0,,,,1
LN_VTA_1,trial_30_los_11_f1_f2_acum_r4_l4_task_1_sess_1,Picture,[7210.93016937],[0],2,2,0,1.519249446,f1_f2,,0.0,,,,2
LN_VTA_1,trial_32_los_12_f2_f1_acum_r4_l4_task_1_sess_1,Picture,[7232.18799157],[0],2,1,-1,0.989822298,f2_f1,,0.0,,,,2
LN_VTA_1,trial_36_los_13_f1_f2_acum_r6_l5_task_1_sess_1,Picture,[7279.71428083],[0],2,2,-1,1.047112783,f1_f2,,0.0,,,,2
LN_VTA_1,trial_37_los_14_f1_f2_acum_r6_l6_task_1_sess_1,Picture,[7295.97802605],[0],2,1,0,0.88414525,f1_f2,,1.0,,,,1
LN_VTA_1,trial_44_los_16_f2_f1_acum_r7_l6_task_1_sess_1,Picture,[7387.26846745],[0],2,1,0,1.120390337,f2_f1,,0.0,,,,2
LN_VTA_1,trial_50_los_17_f2_f1_acum_r8_l6_task_1_sess_1,Picture,[7471.03455781],[0],2,2,-1,1.412002314,f2_f1,,1.0,,,,1
LN_VTA_1,trial_56_los_19_f1_f2_acum_r9_l7_task_1_sess_1,Picture,[7542.33238493],[0],2,2,-1,1.163232096,f1_f2,,0.0,,,,2
LN_VTA_1,trial_59_los_20_f1_f2_acum_r9_l8_task_1_sess_1,Picture,[7578.62193837],[0],2,2,0,1.34155342,f1_f2,,0.0,,,,2
LN_VTA_1,trial_2_los_1_f2_f1_acum_r0_l0_task_1_sess_2,Picture,[7707.4505892],[0],2,1,-1,0.545660916,f2_f1,,0.0,,,,2
LN_VTA_1,trial_3_los_2_f2_f1_acum_r0_l1_task_1_sess_2,Picture,[7718.72036426],[0],2,2,0,0.653797148,f2_f1,,1.0,,,,1
LN_VTA_1,trial_4_los_3_f1_f2_acum_r0_l1_task_1_sess_2,Picture,[7731.22208107],[0],2,1,-1,1.695611063,f1_f2,,1.0,,,,1
LN_VTA_1,trial_6_los_4_f1_f2_acum_r0_l2_task_1_sess_2,Picture,[7757.47386469],[0],2,2,0,1.241824293,f1_f2,,0.0,,,,2
LN_VTA_1,trial_7_los_5_f2_f1_acum_r0_l2_task_1_sess_2,Picture,[7771.22400562],[0],2,2,0,1.054682294,f2_f1,,1.0,,,,1
LN_VTA_1,trial_14_los_6_f2_f1_acum_r1_l2_task_1_sess_2,Picture,[7855.00673002],[0],2,1,0,1.42921641,f2_f1,,0.0,,,,2
LN_VTA_1,trial_15_los_7_f2_f1_acum_r1_l2_task_1_sess_2,Picture,[7870.0055315],[0],2,2,0,1.200982723,f2_f1,,1.0,,,,1
LN_VTA_1,trial_23_los_10_f1_f2_acum_r1_l2_task_1_sess_2,Picture,[7968.8200244],[0],2,2,0,1.03899989,f1_f2,,0.0,,,,2
LN_VTA_1,trial_25_los_11_f2_f1_acum_r1_l2_task_1_sess_2,Picture,[7998.81738333],[0],2,1,0,1.903635122,f2_f1,,0.0,,,,2
LN_VTA_1,trial_31_los_12_f1_f2_acum_r3_l2_task_1_sess_2,Picture,[8072.57872752],[0],2,1,-1,0.873998527,f1_f2,,1.0,,,,1
LN_VTA_1,trial_36_los_13_f1_f2_acum_r5_l3_task_1_sess_2,Picture,[8135.1203223],[0],2,1,-1,1.111872617,f1_f2,,1.0,,,,1
LN_VTA_1,trial_38_los_14_f2_f1_acum_r5_l4_task_1_sess_2,Picture,[8161.40547737],[0],2,2,0,0.740815075,f2_f1,,1.0,,,,1
LN_VTA_1,trial_39_los_15_f2_f1_acum_r5_l4_task_1_sess_2,Picture,[8176.40412833],[0],2,1,-1,1.077059745,f2_f1,,0.0,,,,2
LN_VTA_1,trial_40_los_16_f1_f2_acum_r5_l5_task_1_sess_2,Picture,[8186.40879506],[0],2,2,0,1.087781398,f1_f2,,0.0,,,,2
LN_VTA_1,trial_41_los_17_f1_f2_acum_r5_l5_task_1_sess_2,Picture,[8197.66192391],[0],2,2,0,1.194334812,f1_f2,,0.0,,,,2
LN_VTA_1,trial_49_los_18_f2_f1_acum_r6_l5_task_1_sess_2,Picture,[8290.20080616],[0],2,1,0,1.127624773,f2_f1,,0.0,,,,2
LN_VTA_1,trial_60_los_20_f2_f1_acum_r7_l5_task_1_sess_2,Picture,[8432.74630324],[0],2,2,-1,0.928302603,f2_f1,,1.0,,,,1
LN_VTA_1,trial_3_los_2_f2_f1_acum_r0_l0_task_1_sess_3,Picture,[8587.36056966],[0],2,2,-1,0.823503821,f2_f1,,1.0,,,,1
LN_VTA_1,trial_5_los_3_f1_f2_acum_r0_l1_task_1_sess_3,Picture,[8608.61837361],[0],2,2,0,0.693197114,f1_f2,,0.0,,,,2
LN_VTA_1,trial_6_los_4_f1_f2_acum_r0_l1_task_1_sess_3,Picture,[8618.60639414],[0],2,1,0,0.823017078,f1_f2,,1.0,,,,1
LN_VTA_1,trial_7_los_5_f2_f1_acum_r0_l1_task_1_sess_3,Picture,[8632.37331773],[0],2,2,-1,0.868712014,f2_f1,,1.0,,,,1
LN_VTA_1,trial_9_los_6_f2_f1_acum_r1_l2_task_1_sess_3,Picture,[8653.63098788],[0],2,1,0,1.057437021,f2_f1,,0.0,,,,2
LN_VTA_1,trial_20_los_7_f2_f1_acum_r4_l2_task_1_sess_3,Picture,[8797.45830829],[0],2,1,0,1.394199033,f2_f1,,0.0,,,,2
LN_VTA_1,trial_21_los_8_f1_f2_acum_r4_l2_task_1_sess_3,Picture,[8808.71140598],[0],2,1,0,0.989010743,f1_f2,,1.0,,,,1
LN_VTA_1,trial_23_los_9_f1_f2_acum_r4_l2_task_1_sess_3,Picture,[8831.21774429],[0],2,1,-1,2.465042112,f1_f2,,1.0,,,,1
LN_VTA_1,trial_30_los_10_f1_f2_acum_r6_l3_task_1_sess_3,Picture,[8923.75655431],[0],2,2,-1,0.886311931,f1_f2,,0.0,,,,2
LN_VTA_1,trial_31_los_11_f2_f1_acum_r6_l4_task_1_sess_3,Picture,[8935.00979758],[0],2,1,0,1.002121447,f2_f1,,0.0,,,,2
LN_VTA_1,trial_37_los_13_f1_f2_acum_r6_l4_task_1_sess_3,Picture,[9016.27886068],[0],2,2,0,1.40931905,f1_f2,,0.0,,,,2
LN_VTA_1,trial_43_los_14_f2_f1_acum_r6_l4_task_1_sess_3,Picture,[9111.33134189],[0],2,2,-1,0.835659095,f2_f1,,1.0,,,,1
LN_VTA_1,trial_45_los_15_f2_f1_acum_r6_l5_task_1_sess_3,Picture,[9135.10280981],[0],2,2,-1,1.129707829,f2_f1,,1.0,,,,1
LN_VTA_1,trial_48_los_16_f1_f2_acum_r7_l6_task_1_sess_3,Picture,[9168.86227659],[0],2,2,-1,0.643839345,f1_f2,,0.0,,,,2
LN_VTA_1,trial_49_los_17_f1_f2_acum_r7_l7_task_1_sess_3,Picture,[9180.11543738],[0],2,1,0,0.79982104,f1_f2,,1.0,,,,1
LN_VTA_1,trial_57_los_18_f2_f1_acum_r7_l7_task_1_sess_3,Picture,[9275.15130356],[0],2,1,0,0.673202823,f2_f1,,0.0,,,,2
LN_VTA_1,trial_58_los_19_f1_f2_acum_r7_l7_task_1_sess_3,Picture,[9285.15596117],[0],2,1,-1,0.868658797,f1_f2,,1.0,,,,1
LN_VTA_1,trial_59_los_20_f2_f1_acum_r7_l8_task_1_sess_3,Picture,[9295.14411094],[0],2,2,-1,1.173348219,f2_f1,,1.0,,,,1
LN_VTA_1,trial_3_los_1_f2_f1_acum_r1_l0_task_1_sess_4,Picture,[9444.68107092],[0],2,2,-1,1.049739409,f2_f1,,1.0,,,,1
LN_VTA_1,trial_6_los_2_f2_f1_acum_r1_l1_task_1_sess_4,Picture,[9477.19199651],[0],2,1,0,0.643895792,f2_f1,,0.0,,,,2
LN_VTA_1,trial_8_los_3_f1_f2_acum_r1_l1_task_1_sess_4,Picture,[9498.44980578],[0],2,2,-1,1.108744423,f1_f2,,0.0,,,,2
LN_VTA_1,trial_15_los_4_f2_f1_acum_r3_l2_task_1_sess_4,Picture,[9579.73558615],[0],2,2,-1,0.822841082,f2_f1,,1.0,,,,1
LN_VTA_1,trial_19_los_5_f1_f2_acum_r3_l3_task_1_sess_4,Picture,[9636.00125211],[0],2,1,-1,0.581720581,f1_f2,,1.0,,,,1
LN_VTA_1,trial_22_los_6_f1_f2_acum_r3_l4_task_1_sess_4,Picture,[9677.2684416],[0],2,2,0,0.553445765,f1_f2,,0.0,,,,2
LN_VTA_1,trial_25_los_7_f1_f2_acum_r3_l4_task_1_sess_4,Picture,[9722.28105168],[0],2,2,0,0.691141807,f1_f2,,0.0,,,,2
LN_VTA_1,trial_26_los_8_f2_f1_acum_r3_l4_task_1_sess_4,Picture,[9733.5508104],[0],2,1,0,0.682205766,f2_f1,,0.0,,,,2
LN_VTA_1,trial_27_los_9_f2_f1_acum_r3_l4_task_1_sess_4,Picture,[9747.30096083],[0],2,2,-1,1.36043396,f2_f1,,1.0,,,,1
LN_VTA_1,trial_30_los_10_f2_f1_acum_r3_l5_task_1_sess_4,Picture,[9781.07706811],[0],2,2,-1,1.996687258,f2_f1,,1.0,,,,1
LN_VTA_1,trial_32_los_11_f2_f1_acum_r3_l6_task_1_sess_4,Picture,[9807.34549716],[0],2,2,-1,1.049060135,f2_f1,,1.0,,,,1
