Original_Arew,Recovered_Arew,Original_Apun,Recovered_Apun
0.58338878,0.407280396,0.45385107,0.623910699
0.50086765,0.299867026,0.54769504,0.634151597
0.30358359,0.478455855,0.39747847,0.675785598
0.52777128,0.60918787,0.62091723,0.715590239
0.65569924,0.47756321,1,0.772871205
0.71250156,0.639213831,0.6496521,0.659635155
0.90037901,0.673836541,0.60724925,0.630436768
0.34825234,0.417546792,0.63320198,0.640015878
0.3715145,0.396266364,0.60171321,0.617732314
0.57067212,0.50849085,0.62901087,0.606139624
0.18483136,0.301733086,0.18753081,0.574452563
0.24696516,0.336842224,0.49113389,0.689692433
0.70374424,0.558161021,0.96938145,0.812111497
0.38737826,0.294906375,0.3531046,0.464826818
,,,
,,,
,,,
,,,
,,,
,,,
,,,`
